ID,DE,FR,IT,EN
tor1,Siedewasserreaktor,Réacteur à eau bouillante,Reattore ad acqua bollente,Boiling water reactor
tor2,Druckwasserreaktor,Réacteur à eau pressurisée,Reattore ad acqua sotto pressione,Pressurised water reactor
