ID,DE,FR,IT,EN
toc1,Flusswasserkühlung,Refroidissement à l'eau de rivière,Raffreddamento con acqua di fiume ,River water cooling system
toc2,Kühlung mit Kühlturm,Refroidissement par tour de refroidissement,Raffreddamento me-diante torre di raffred-damento,Cooling with cooling tower
